Title,Skills,budget,experience_level,rate_type,duration,description
"Chat GPT specialist  for Sales, Marketing, and more. ","['Chatbot', 'ChatGPT', 'ChatGPT API Integration', 'ai sales', 'sales automation', ' marketing ai', 'Automation', 'Lead Generation', 'Sales', 'Marketing Strategy']",-,Expert,Hourly,30+ hrs/week,"We are an international language translation interpreting and linguistics company. In need of a professional individual who is good with machine learning and creating chat bots. We want someone to work with our organization on several levels using artificial intelligence to improve the efficiencies of our company. One of these things will be creating an artificial intelligence chat bot that will help us drive our sales. If you are interested in working with us, please send us your application and please be as detailed as possible. W someone who is having the same ed company so we require someone who has the same beliefs."
Coders - AI Training,"['Artificial Intelligence', 'Web Development', 'Generative AI']",-,Entry level,Hourly: $25,Less than 30 hrs/week,"This is a great opportunity to supplement your income while looking for longer or more full-time work, all while contributing to the development of new AI models using your domain expertise!  You’ll have the flexibility to work as much or as little as you choose - 20hrs/week is suggested, but not a limit. 

 
What to expect: If qualified, you’ll complete an ID verification & be invited to complete a 30-minute technical interview, typically scheduled within 48 hours of being invited. The interview will consist of technicals, choosing from: JS, Java, C++, and Python. If you successfully pass the interview, you’ll be approved and able to begin work ASAP. Otherwise, the next step will be to complete an async rating & writing assessment. 

Required qualifications:
- Complete fluency in the English language is required. You should be able to describe code and abstract information in a clear way.
- Proficiency working with any of the the following:
- Python, Java, JavaScript / TypeScript, SQL, C/C++/C# and/or HTML

Preferred qualifications:
- Bachelor's and/or Master's degree in Computer Science or equivalent. Students are welcome.
- Proficiency working with any of the the following (in addition to the languages above):
- Swift, Ruby, Rust, Go, NET, Matlab, PHP, HTML, DART, R, Apex, and Shell
- Data Science experience

Example projects might include:
- Evaluating the quality of AI-generated code, including human-readable summaries of your rationale
- Solve coding problems, writing functional and efficient code
- Optimize code to run at maximum efficiency
- Writing robust test cases to confirm code works efficiently and effectively
- Writing human-readable summaries of coding problems
- Writing explanations of how code can solve problems and evaluate various solution approaches

No previous experience with AI necessary! You will receive detailed instructions on what is expected of you after you complete the application and verification process."
"Python Developer with Flask, NLP, LLM experience","['Python', 'Flask', 'Natural Language Processing', 'Data Science', 'API']",-,Expert,Hourly: $25-$40,30+ hrs/week,"I need an experienced Python Developer. You should know web frameworks like Flask and FastAPI. You should have experience with python packages related to data science, specifically NLP tasks, such as nltk, langchain (RAG), llms, etc. "
Script for data entry in image,"['Data Entry', 'Microsoft Excel', 'Python']",-,Intermediate,Hourly,Less than 30 hrs/week,"Job Overview:
We are looking for a talented and detail-oriented Script Developer to create a robust script capable of converting CSV variables into images. The script will need to extract specific data such as first name, last name, etc., from CSV files and overlay this information onto designated image templates. Additionally, the script should be able to scan a folder or CSV for new data entries and automatically generate images accordingly, ensuring seamless integration with our existing systems.

Responsibilities:

Develop a Python script to extract data from CSV files and overlay it onto predefined image templates.
Implement functionality to dynamically adjust image elements based on variable data inputs.
Create mechanisms for scanning folders or CSV files for new data entries and generating images accordingly.
Ensure the script is efficient, error-tolerant, and scalable to handle large datasets.
Collaborate with the team to integrate the script into our existing workflow and systems.
Test the script thoroughly to identify and resolve any bugs or issues.
Document the script's functionality, usage instructions, and troubleshooting guidelines."
"Need CUDA, cuDNN, spconv, APEX and Pytorch installed and running.","['Python', 'PyTorch', 'Machine Learning', 'Deep Learning', 'Computer Vision']","
        $20
      ",Intermediate,Fixed-price,-,"https://github.com/neeharperi/FutureDet

This model must be installed on a Windows WSL machine running Ubuntu 22.04. 
All of the stuff is already on it, but it doesn't work for some reason. You have to check everything and troubleshoot, maybe there is some version differences between software installed. 
Graphics card is RTX A4000, so be sure to check which CUDA version is compatible."
Create a metadata and data mapping catalog of Post-Secondary Data standards,"['Academic Research', 'Equity Research', 'Microsoft Excel']",-,Expert,Hourly: $10-$80,Less than 30 hrs/week,"Hello. We are in the process of mapping multiple datasets together to create a large, longitudinal dataset. We need someone with expertise in US post-secondary data standards (like CEDS and PESC) to help build a catalog of ways to map the common elements of data and the metadata behind the data elements. Experience with digital credentialing a strong asset. Experience with data equity a strong asset. 

We'll provide training and examples. We need someone who can start immediately. We expect the job to last approximately three to four weeks."
Scraping Expert to Collect People Data,"['Web Scraping', 'Web Crawling', 'Screen Scraping', 'Python', 'Data Scraping', 'Data Extraction']",-,Entry level,Hourly: $5-$15,30+ hrs/week,I'm looking for a scraping expert to collect training datasets for my AI project. The deliverable will include famous people's photos and brief information on Google Search. The info can be stored in CSV or Excel. Please let me know if you have any similar experience. Thank you.
OpenPose Expert,"['Deep Learning', 'Computer Vision', 'Python', 'Machine Learning']","
        $10
      ",Intermediate,Fixed-price,-,"I want to build a colab notebook running openpose algorithm to detect hands, face, and body landmarks. The algorithm should be able to accept multiple videos and return the output of each in high accuracy."
NLP to SQL RAG Pipeline Developer,"['LangChain', 'OpenAI Embeddings', 'Python', 'Git', 'Machine Learning', 'SQL', 'Vector Database', 'Vector Embedding', 'OpenAI API']","
        $500
      ",Intermediate,Fixed-price,-,"Job Title: NLP SQL RAG Pipeline

We are looking for a highly skilled AI Engineer to build a NLP to SQL RAG System. The expectation is to design and construct a reliable pipeline capable of transforming natural language into SQL statements given a large schema. The pipeline should leverage schema information stored as embeddings in a vector database. The process of representing schema information ideal for embeddings should also be designed by the engineer. 

The ideal candidate will possess extensive expertise in Natural Language Processing (NLP), LLMs, OpenAI API, Embeddings, Semantic Search and Vector Database. Needless to say, proficiency in SQL is expected. Experience with RAG pipelines is very much needed.

Key Responsibilities:
- Design a format suitable for capturing schema information and make embeddings out of it.
- Design and construct a robust pipeline that converts natural language into SQL statements.
- Leverage schema information represented as embeddings in a vector database.
- Implement techniques for evaluating the system
- Pay meticulous attention to detail to ensure data integrity and quality.
- Troubleshoot and resolve any issues or challenges that arise during pipeline development and deployment.

Please reach out if interested and we can get on a call so that I can explain the project in detail. "
Data Scientist + Backend Developer (Full-time),"['Data Science', 'Machine Learning']",-,Expert,Hourly: $15-$30,30+ hrs/week,"Location: Remote
Full-time

About Us:

We are a dynamic financial services firm looking for a skilled data scientist and web app developer to join our company. 

The ideal candidate will work closely with our lead analyst to integrate APIs across platforms and build dashboards to inform our investment decision-making. 

The candidate should have expertise in the ability to perform time series analysis, manipulate data frames, and perform backtests of various systematic investing strategies. 

This role is critical for enhancing our portfolio management capabilities and delivering actionable insights through advanced data analytics.

Key Responsibilities:
Interact with several APIs for integrating various financial market data sources and analytics tools
Extract and post positions from our custodian (Charles Schwab) in a portfolio management tool to ensure seamless data flow and integration.
Conduct daily portfolio optimizations, focusing on construction and identifying strategic buys, sells, or tax loss harvesting opportunities.
Generate comprehensive daily, weekly, and monthly reports and dashboards, including factor chartbooks and investment themes documentation, to support decision-making processes.
Generate post-trade reports to provide feedback on decision making and process improvements
Design and build a web application portal for efficient portfolio management, incorporating user-friendly features and robust data structures to accommodate future investment strategies.
Collaborate with other stakeholders to understand requirements and provide technical solutions that align with business goals.

Ideal Candidate Profile:

Education: 1 to 5 years of experience. Bachelor’s or Master’s degree in Computer Science or a related field with strong interest in quantitative finance.
Experience: Proven experience in API integration, data analysis, and dashboard creation. Familiarity with financial analytics tools and portfolio management applications is highly desirable.
Technical Skills: Strong proficiency in programming languages relevant to API development and data analysis (e.g., Python, R). 
Communication: Excellent verbal and written communication skills in English, with the ability to interact effectively with both technical and non-technical team members.
Problem-Solving: Strong problem-solving abilities, mathematical ability, and a proactive approach to identifying and addressing challenges.
Teamwork: Ability to work collaboratively in a remote setting, supporting team members and contributing to a positive work environment."
Python with Artificial Intelligence,"['AI Bot', 'AI Development', 'Edge AI', 'Dimensionality Reduction', 'Artificial Intelligence', 'Python', 'Deep Learning']","
        $250
      ",Intermediate,Fixed-price,-,"I am looking for a person who can do an Automation POC (Proof of Concept) with an existing model
The core domain is Provisioning Systems, Inventory and Billing Systems,  Modem Resets, Trouble shooting process, Automate the issue identification process

	1. We can use the existing Models and fetch any documents
	2. Internal models with Sharepoint with Wiki documents with Large Language Models
	3. ChatBots for Customer Interactions
	4. API's aggregating and build a middle man model which can take the request and call an API and return the data
           Microservices, Gateways 
          Call different API's using AI Models
         Leverage API model to integrate with the API's
"
Udemy,['English'],"
        $100
      ",Entry level,Fixed-price,-,"Hi,  I require a person to assist us with a Python/Datascience/Javascript/Java Udemy Course. If the person has the training videos ready, it's the best. If not, the person should be willing to create a course. The person has to create the full course. 
"
Beta Testers for a new Web Scraping Extension,"['Data Entry', 'List Building', 'Data Extraction', 'Python', 'Data Mining', 'Data Collection', 'Data Processing', 'Python-Requests', 'Selenium', 'Beautiful Soup', 'Microsoft Excel', 'XPath', 'ETL Pipeline', 'Web Scraping']",-,Intermediate,Hourly,Less than 30 hrs/week,"Hey there 👋

I'm currently developing a new web scraping extension and I'm looking for web scraping experts to help me test it out and improve it. Your insights and feedback would be incredibly valuable to me!

If you’re interested, you can just download the Google Chrome extension here for free: https://chromewebstore.google.com/detail/scrapethings/kcodkiokhhffgjopoejmfpdkigbhbfdm?q=b64e8b03

I would be interested to learn how you would evaluate the user experience, which data you tried to scrape with it, whether you could obtain the data you needed, and whether this is something you could use in your daily work. And if not, what features would you wish for and which problems do you encounter in your daily work that you would like to have fixed?

In return for your participation, I'd be delighted to provide you with free lifetime access to the extension (first version is free anyway, but there will be a paid tier in the future) 💸

Thanks for considering it and I’m hoping to hear back from you 🙏

Best, Max"
Business Data Analytics (Tableau),"['Tableau', 'Data Analysis', 'Data Visualization', 'Business Intelligence', 'Analytics']","
        $10
      ",Intermediate,Fixed-price,-,"Budget: $10
Check the attached document for all the information required.

Deadline: 2nd, April.
"
Full Stack Developer with Video Object Detection in Python or AI/ML (per hour or fixed price),"['Python', 'Machine Learning', 'Artificial Intelligence', 'Deep Learning', 'TensorFlow', 'Computer Vision', 'Data Science']",-,Entry level,Hourly: $3-$20,30+ hrs/week,"No Agencies | No brokers | No middle people - you will be ignored

My Objective: I need a software package that can read a video file and detect buildings. Then it will log the characteristics of that building for example its a rectangle or cylinder shape, its a blue building or a red one. 


Min 5 years exp - this is not a role for a junior dev, you will need to have an interview before getting the job, please have your work ready to showcase.  

See links below...

1:  https://github.com/VisDrone/VisDrone-Dataset
Visdrone on git might do the job. 

2: Finds ad alternate that GPT has suggested.
https://chat.openai.com/share/f73ec322-c70f-4b0b-ad62-58fba578d215


Please provide relevant examples of your work otherwise you will not make the interview.  If you make The interview round please have at least two video ai/ml models ready to showcase.

Please have a reccomendation of which one you would implement and why, give me an indication of how long or a fixed price and you will get the job !

"
Job Title: Data Scraper for Clothing Brand Launch in USA,"['Appointment Setting', 'Data Cleaning', 'Email Marketing', 'Lead Generation Content Creation', 'Lead Generation Analysis', 'Lead Generation Strategy', 'Data Entry', 'Lead Generation', 'Data Mining', 'Data Scraping']",-,Expert,Hourly: $50-$200,Less than 30 hrs/week,"We are looking for a skilled data scraper to assist in gathering essential information for the launch of our clothing brand in the United States. The ideal candidate will be proficient in web scraping techniques and capable of extracting data from various online sources.

Responsibilities:
- Utilize web scraping tools and techniques to collect data from targeted locations including IL, MA, PA, MI, NC, and LA.
- Gather information related to potential competitors, market trends, and consumer preferences in the clothing industry.
- Ensure the accuracy and completeness of the gathered data through thorough verification processes.
- Compile and organize the collected data into structured formats for analysis and decision-making purposes.
- Collaborate with the team to identify specific data requirements and adjust scraping strategies accordingly.

Requirements:
- Proven experience in web scraping and data extraction techniques.
- Familiarity with scraping tools and programming languages such as Python, BeautifulSoup, or Scrapy.
- Strong attention to detail and ability to ensure data accuracy and integrity.
- Excellent communication skills and the ability to work collaboratively in a team environment.
- Understanding of the clothing industry and market dynamics in the specified regions is a plus.

If you are enthusiastic about contributing to the success of a growing clothing brand and have the skills to excel in this role, we would love to hear from you. Please apply with your resume and a brief description of your relevant experience in web scraping"
